sale_id,store_id,customer_id,user_id,invoice_number,sale_date,subtotal,discount,tax,total_amount,status
1,2,188,13,INV-000001,2026-09-22 12:31:00,123446.92,8593.67,20673.58,135526.83,COMPLETED
2,1,943,1,INV-000002,2026-04-21 19:42:00,296772.0,27502.84,48468.45,317737.61,CANCELLED
3,5,408,37,INV-000003,2026-05-27 18:08:00,102853.96,5903.65,17451.06,114401.37,COMPLETED
4,2,1000,14,INV-000004,2026-05-01 20:33:00,251745.55,7075.07,44040.68,288711.16,COMPLETED
5,2,435,14,INV-000005,2026-05-24 15:44:00,170827.3,12480.25,28502.47,186849.52,COMPLETED
6,4,201,30,INV-000006,2026-05-08 20:09:00,272665.97,13907.09,46576.6,305335.48,COMPLETED
7,3,860,22,INV-000007,2026-09-09 10:28:00,262110.66,10889.41,45219.82,296441.07,COMPLETED
8,3,333,21,INV-000008,2026-09-20 17:31:00,299726.49,25894.91,49289.69,323121.27,COMPLETED
9,2,325,13,INV-000009,2026-09-15 13:45:00,351969.44,27933.58,58326.46,382362.32,COMPLETED
10,2,964,13,INV-000010,2026-09-27 20:05:00,154779.79,9289.12,26188.32,171678.99,COMPLETED
11,1,269,1,INV-000011,2026-09-06 11:05:00,141944.67,10649.98,23633.05,154927.74,COMPLETED
12,5,562,37,INV-000012,2026-07-23 11:44:00,297697.16,22104.33,49606.72,325199.55,COMPLETED
13,5,353,34,INV-000013,2026-06-13 16:34:00,151238.08,17185.92,24129.39,158181.55,COMPLETED
14,4,612,29,INV-000014,2026-05-30 09:35:00,365122.56,26833.59,60892.02,399180.99,COMPLETED
15,2,292,13,INV-000015,2026-09-14 20:34:00,190991.32,5503.32,33387.84,218875.84,COMPLETED
16,3,156,17,INV-000016,2026-04-13 17:01:00,108290.42,6669.75,18291.72,119912.39,COMPLETED
17,4,351,26,INV-000017,2026-07-17 13:50:00,381521.18,5397.8,67702.21,443825.59,COMPLETED
18,4,125,25,INV-000018,2026-06-03 15:49:00,53898.05,3456.14,9079.53,59521.44,COMPLETED
19,5,260,33,INV-000019,2026-08-02 19:19:00,39491.44,4387.6,6318.69,41422.53,COMPLETED
20,1,814,2,INV-000020,2026-06-10 18:07:00,310393.49,13343.33,53469.03,350519.19,COMPLETED
21,3,719,18,INV-000021,2026-08-16 10:08:00,208732.52,18815.85,34185.0,224101.67,COMPLETED
22,4,556,29,INV-000022,2026-09-26 16:12:00,233694.73,9249.88,40400.07,264844.92,COMPLETED
23,2,635,9,INV-000023,2026-07-03 18:15:00,124945.44,11045.54,20501.99,134401.89,COMPLETED
24,1,45,1,INV-000024,2026-05-04 11:55:00,30086.26,1752.36,5100.1,33434.0,COMPLETED
25,4,51,29,INV-000025,2026-07-03 12:38:00,71378.28,5616.75,11837.08,77598.61,COMPLETED
26,1,572,5,INV-000026,2026-07-16 14:50:00,56043.99,3557.81,9447.51,61933.69,COMPLETED
27,2,104,9,INV-000027,2026-05-30 17:24:00,142778.86,9694.93,23955.11,157039.04,COMPLETED
28,5,691,37,INV-000028,2026-07-27 20:42:00,241414.66,19469.82,39950.07,261894.91,CANCELLED
29,3,783,22,INV-000029,2026-09-10 15:52:00,247740.86,11580.62,42508.85,278669.09,COMPLETED
30,5,531,33,INV-000030,2026-05-05 13:00:00,169362.05,7849.45,29072.26,190584.86,COMPLETED
31,3,911,21,INV-000031,2026-08-28 12:14:00,83177.43,6791.5,13749.46,90135.39,COMPLETED
32,3,749,17,INV-000032,2026-08-26 15:05:00,54150.87,2260.89,9340.2,61230.18,COMPLETED
33,1,766,2,INV-000033,2026-09-15 18:59:00,4960.32,32.22,887.06,5815.16,COMPLETED
