expense_id,store_id,category,amount,description,expense_date
1,1,Rent,126317.79,Rent expense for store 1,2026-04-01
2,1,Electricity,25397.38,Electricity expense for store 1,2026-04-10
3,1,Salary,409569.45,Salary expense for store 1,2026-04-18
4,1,Maintenance,15123.16,Maintenance expense for store 1,2026-04-15
5,1,Marketing,23053.71,Marketing expense for store 1,2026-04-17
6,1,Transport,16001.64,Transport expense for store 1,2026-04-04
7,2,Rent,114904.7,Rent expense for store 2,2026-04-15
8,2,Electricity,29072.77,Electricity expense for store 2,2026-04-15
9,2,Salary,415859.78,Salary expense for store 2,2026-04-21
10,2,Maintenance,15016.92,Maintenance expense for store 2,2026-04-06
11,2,Marketing,28899.65,Marketing expense for store 2,2026-04-25
12,2,Transport,17355.04,Transport expense for store 2,2026-04-06
13,3,Rent,121346.28,Rent expense for store 3,2026-04-01
14,3,Electricity,31623.38,Electricity expense for store 3,2026-04-21
15,3,Salary,365862.6,Salary expense for store 3,2026-04-10
16,3,Maintenance,12822.11,Maintenance expense for store 3,2026-04-24
17,3,Marketing,26808.46,Marketing expense for store 3,2026-04-03
18,3,Transport,14756.64,Transport expense for store 3,2026-04-06
19,4,Rent,130341.84,Rent expense for store 4,2026-04-19
20,4,Electricity,34615.01,Electricity expense for store 4,2026-04-19
21,4,Salary,362326.45,Salary expense for store 4,2026-04-21
22,4,Maintenance,17727.51,Maintenance expense for store 4,2026-04-03
23,4,Marketing,22547.26,Marketing expense for store 4,2026-04-01
24,4,Transport,17786.09,Transport expense for store 4,2026-04-09
25,5,Rent,116781.42,Rent expense for store 5,2026-04-14
26,5,Electricity,26253.38,Electricity expense for store 5,2026-04-17
27,5,Salary,380610.73,Salary expense for store 5,2026-04-14
28,5,Maintenance,17499.59,Maintenance expense for store 5,2026-04-21
29,5,Marketing,25908.14,Marketing expense for store 5,2026-04-23
30,5,Transport,19102.7,Transport expense for store 5,2026-04-17
31,1,Rent,130853.24,Rent expense for store 1,2026-05-15
32,1,Electricity,27847.73,Electricity expense for store 1,2026-05-11
33,1,Salary,292216.61,Salary expense for store 1,2026-05-13
34,1,Maintenance,14035.81,Maintenance expense for store 1,2026-05-13
35,1,Marketing,21098.24,Marketing expense for store 1,2026-05-01
36,1,Transport,18129.66,Transport expense for store 1,2026-05-07
37,2,Rent,121955.11,Rent expense for store 2,2026-05-09
38,2,Electricity,31796.19,Electricity expense for store 2,2026-05-01
39,2,Salary,393488.3,Salary expense for store 2,2026-05-13
40,2,Maintenance,17194.92,Maintenance expense for store 2,2026-05-01
41,2,Marketing,23369.13,Marketing expense for store 2,2026-05-07
