inventory_id,store_id,product_id,quantity,reorder_level,updated_at
1,1,134,42,11,2026-09-15 18:00:00
2,1,83,62,10,2026-09-15 18:00:00
3,1,132,44,15,2026-09-15 18:00:00
4,1,194,29,17,2026-09-15 18:00:00
5,1,33,20,22,2026-09-15 18:00:00
6,1,76,5,22,2026-09-15 18:00:00
7,1,4,30,23,2026-09-15 18:00:00
8,1,111,27,11,2026-09-15 18:00:00
9,1,240,75,21,2026-09-15 18:00:00
10,1,88,54,17,2026-09-15 18:00:00
11,1,143,75,22,2026-09-15 18:00:00
12,1,144,41,14,2026-09-15 18:00:00
13,1,149,54,11,2026-09-15 18:00:00
14,1,167,71,16,2026-09-15 18:00:00
15,1,54,41,17,2026-09-15 18:00:00
16,1,178,59,23,2026-09-15 18:00:00
17,1,216,18,12,2026-09-15 18:00:00
18,1,232,41,25,2026-09-15 18:00:00
19,1,188,34,21,2026-09-15 18:00:00
20,1,23,56,24,2026-09-15 18:00:00
21,1,175,77,24,2026-09-15 18:00:00
22,1,52,57,24,2026-09-15 18:00:00
23,1,86,41,19,2026-09-15 18:00:00
24,1,199,34,16,2026-09-15 18:00:00
25,1,36,26,12,2026-09-15 18:00:00
26,1,208,40,20,2026-09-15 18:00:00
27,1,197,52,25,2026-09-15 18:00:00
28,1,65,7,22,2026-09-15 18:00:00
29,1,103,7,10,2026-09-15 18:00:00
30,1,48,33,24,2026-09-15 18:00:00
31,1,177,55,25,2026-09-15 18:00:00
32,1,70,28,15,2026-09-15 18:00:00
33,1,113,20,19,2026-09-15 18:00:00
34,1,11,14,19,2026-09-15 18:00:00
35,1,211,11,13,2026-09-15 18:00:00
36,1,18,45,14,2026-09-15 18:00:00
37,1,174,68,10,2026-09-15 18:00:00
38,1,124,29,20,2026-09-15 18:00:00
39,1,202,32,24,2026-09-15 18:00:00
40,1,115,46,17,2026-09-15 18:00:00
41,1,15,28,10,2026-09-15 18:00:00
42,1,236,60,10,2026-09-15 18:00:00
43,1,85,24,25,2026-09-15 18:00:00
44,1,219,75,16,2026-09-15 18:00:00
45,1,140,63,14,2026-09-15 18:00:00
46,1,180,37,13,2026-09-15 18:00:00
47,1,62,54,23,2026-09-15 18:00:00
48,1,204,53,25,2026-09-15 18:00:00
49,1,110,15,25,2026-09-15 18:00:00
50,1,186,77,19,2026-09-15 18:00:00
51,1,228,75,17,2026-09-15 18:00:00
52,1,128,44,22,2026-09-15 18:00:00
53,1,116,71,25,2026-09-15 18:00:00
54,1,152,30,25,2026-09-15 18:00:00
55,1,26,24,12,2026-09-15 18:00:00
56,1,5,53,18,2026-09-15 18:00:00
57,1,154,67,21,2026-09-15 18:00:00
58,1,155,9,23,2026-09-15 18:00:00
59,1,47,39,14,2026-09-15 18:00:00
60,1,170,21,13,2026-09-15 18:00:00
61,1,34,16,19,2026-09-15 18:00:00
62,1,3,25,10,2026-09-15 18:00:00
63,1,229,53,21,2026-09-15 18:00:00
64,1,183,8,12,2026-09-15 18:00:00
65,1,101,43,23,2026-09-15 18:00:00
66,1,147,15,10,2026-09-15 18:00:00
67,1,94,39,25,2026-09-15 18:00:00
68,1,130,80,11,2026-09-15 18:00:00
69,1,42,19,11,2026-09-15 18:00:00
70,1,162,8,17,2026-09-15 18:00:00
71,1,193,76,15,2026-09-15 18:00:00
72,1,17,70,25,2026-09-15 18:00:00
73,1,121,30,17,2026-09-15 18:00:00
74,1,73,12,15,2026-09-15 18:00:00
75,1,160,61,23,2026-09-15 18:00:00
76,1,27,44,12,2026-09-15 18:00:00
77,1,69,66,23,2026-09-15 18:00:00
78,1,95,29,11,2026-09-15 18:00:00
79,1,181,21,12,2026-09-15 18:00:00
80,1,220,15,23,2026-09-15 18:00:00
81,1,44,23,17,2026-09-15 18:00:00
82,1,92,40,13,2026-09-15 18:00:00
83,1,49,48,25,2026-09-15 18:00:00
84,1,77,49,15,2026-09-15 18:00:00
85,1,107,70,15,2026-09-15 18:00:00
86,1,179,33,19,2026-09-15 18:00:00
87,1,218,29,23,2026-09-15 18:00:00
88,1,139,23,15,2026-09-15 18:00:00
89,1,191,14,15,2026-09-15 18:00:00
90,1,25,12,25,2026-09-15 18:00:00
91,1,81,11,21,2026-09-15 18:00:00
92,1,224,47,24,2026-09-15 18:00:00
93,1,57,75,24,2026-09-15 18:00:00
94,1,106,39,10,2026-09-15 18:00:00
95,1,28,77,25,2026-09-15 18:00:00
96,1,61,13,18,2026-09-15 18:00:00
97,1,126,53,15,2026-09-15 18:00:00
98,1,215,21,18,2026-09-15 18:00:00
99,1,150,18,24,2026-09-15 18:00:00
100,1,237,11,24,2026-09-15 18:00:00
101,1,157,35,21,2026-09-15 18:00:00
102,1,182,58,14,2026-09-15 18:00:00
103,1,66,58,22,2026-09-15 18:00:00
104,1,91,12,24,2026-09-15 18:00:00
105,1,22,58,13,2026-09-15 18:00:00
106,1,38,18,22,2026-09-15 18:00:00
107,1,159,39,13,2026-09-15 18:00:00
108,1,64,53,24,2026-09-15 18:00:00
109,1,98,8,14,2026-09-15 18:00:00
110,1,89,16,15,2026-09-15 18:00:00
111,1,109,63,18,2026-09-15 18:00:00
112,1,164,18,12,2026-09-15 18:00:00
113,1,51,21,21,2026-09-15 18:00:00
114,1,151,55,23,2026-09-15 18:00:00
115,1,200,29,21,2026-09-15 18:00:00
116,1,16,8,16,2026-09-15 18:00:00
117,1,35,61,22,2026-09-15 18:00:00
118,1,105,33,24,2026-09-15 18:00:00
119,1,206,41,20,2026-09-15 18:00:00
120,1,102,65,18,2026-09-15 18:00:00
121,1,238,50,20,2026-09-15 18:00:00
122,1,78,71,23,2026-09-15 18:00:00
123,1,146,46,14,2026-09-15 18:00:00
124,1,74,25,18,2026-09-15 18:00:00
125,1,131,67,24,2026-09-15 18:00:00
126,1,19,76,13,2026-09-15 18:00:00
127,1,137,45,20,2026-09-15 18:00:00
128,1,231,60,12,2026-09-15 18:00:00
129,1,8,67,24,2026-09-15 18:00:00
130,1,99,7,11,2026-09-15 18:00:00
131,1,142,76,12,2026-09-15 18:00:00
132,1,133,74,18,2026-09-15 18:00:00
133,1,141,50,18,2026-09-15 18:00:00
134,1,112,42,23,2026-09-15 18:00:00
135,1,68,33,11,2026-09-15 18:00:00
136,1,168,56,21,2026-09-15 18:00:00
137,1,187,59,24,2026-09-15 18:00:00
138,1,196,14,13,2026-09-15 18:00:00
139,1,153,58,21,2026-09-15 18:00:00
140,1,84,12,19,2026-09-15 18:00:00
141,1,190,73,20,2026-09-15 18:00:00
142,1,1,32,25,2026-09-15 18:00:00
143,1,56,27,19,2026-09-15 18:00:00
144,1,32,28,15,2026-09-15 18:00:00
145,1,172,29,21,2026-09-15 18:00:00
146,1,13,19,22,2026-09-15 18:00:00
147,1,158,61,13,2026-09-15 18:00:00
148,1,234,20,17,2026-09-15 18:00:00
149,1,80,34,18,2026-09-15 18:00:00
150,1,138,9,11,2026-09-15 18:00:00
151,1,40,11,15,2026-09-15 18:00:00
152,1,12,70,22,2026-09-15 18:00:00
153,1,82,75,12,2026-09-15 18:00:00
154,1,217,59,16,2026-09-15 18:00:00
155,1,123,21,13,2026-09-15 18:00:00
156,1,87,71,18,2026-09-15 18:00:00
157,1,72,17,24,2026-09-15 18:00:00
158,1,127,68,17,2026-09-15 18:00:00
159,1,7,76,16,2026-09-15 18:00:00
160,1,104,24,25,2026-09-15 18:00:00
161,1,209,10,18,2026-09-15 18:00:00
162,1,120,22,11,2026-09-15 18:00:00
163,1,156,35,19,2026-09-15 18:00:00
164,1,55,37,14,2026-09-15 18:00:00
165,1,96,48,10,2026-09-15 18:00:00
166,1,122,39,11,2026-09-15 18:00:00
167,1,222,17,12,2026-09-15 18:00:00
168,1,201,73,17,2026-09-15 18:00:00
169,1,129,74,11,2026-09-15 18:00:00
170,1,125,76,12,2026-09-15 18:00:00
171,1,169,34,12,2026-09-15 18:00:00
172,1,9,78,25,2026-09-15 18:00:00
173,1,161,24,24,2026-09-15 18:00:00
174,1,203,13,18,2026-09-15 18:00:00
175,1,119,37,24,2026-09-15 18:00:00
176,1,63,21,15,2026-09-15 18:00:00
177,1,50,45,23,2026-09-15 18:00:00
178,1,192,76,18,2026-09-15 18:00:00
179,1,97,19,20,2026-09-15 18:00:00
180,1,71,18,11,2026-09-15 18:00:00
181,2,1,7,23,2026-09-15 18:00:00
182,2,226,37,22,2026-09-15 18:00:00
183,2,33,53,11,2026-09-15 18:00:00
184,2,17,54,18,2026-09-15 18:00:00
185,2,193,64,15,2026-09-15 18:00:00
186,2,167,57,23,2026-09-15 18:00:00
187,2,236,71,16,2026-09-15 18:00:00
188,2,30,5,10,2026-09-15 18:00:00
189,2,204,30,16,2026-09-15 18:00:00
190,2,57,29,13,2026-09-15 18:00:00
191,2,172,52,25,2026-09-15 18:00:00
192,2,52,69,24,2026-09-15 18:00:00
193,2,69,64,11,2026-09-15 18:00:00
194,2,11,54,24,2026-09-15 18:00:00
195,2,116,61,24,2026-09-15 18:00:00
196,2,130,74,21,2026-09-15 18:00:00
197,2,237,19,17,2026-09-15 18:00:00
198,2,68,16,16,2026-09-15 18:00:00
199,2,46,80,14,2026-09-15 18:00:00
200,2,110,70,25,2026-09-15 18:00:00
201,2,173,47,21,2026-09-15 18:00:00
202,2,196,78,14,2026-09-15 18:00:00
203,2,102,38,23,2026-09-15 18:00:00
204,2,64,80,16,2026-09-15 18:00:00
205,2,45,16,23,2026-09-15 18:00:00
206,2,126,31,13,2026-09-15 18:00:00
207,2,81,46,21,2026-09-15 18:00:00
208,2,146,34,18,2026-09-15 18:00:00
209,2,49,12,19,2026-09-15 18:00:00
210,2,223,39,20,2026-09-15 18:00:00
211,2,132,56,12,2026-09-15 18:00:00
212,2,122,46,15,2026-09-15 18:00:00
213,2,83,75,21,2026-09-15 18:00:00
214,2,94,70,11,2026-09-15 18:00:00
215,2,175,68,12,2026-09-15 18:00:00
216,2,62,67,22,2026-09-15 18:00:00
217,2,84,24,25,2026-09-15 18:00:00
218,2,170,33,24,2026-09-15 18:00:00
219,2,88,8,23,2026-09-15 18:00:00
220,2,159,18,21,2026-09-15 18:00:00
221,2,127,5,12,2026-09-15 18:00:00
222,2,139,50,16,2026-09-15 18:00:00
223,2,115,50,16,2026-09-15 18:00:00
224,2,162,46,17,2026-09-15 18:00:00
225,2,178,46,14,2026-09-15 18:00:00
226,2,187,11,11,2026-09-15 18:00:00
227,2,149,77,10,2026-09-15 18:00:00
228,2,150,29,23,2026-09-15 18:00:00
229,2,112,72,12,2026-09-15 18:00:00
230,2,63,9,11,2026-09-15 18:00:00
231,2,41,36,22,2026-09-15 18:00:00
232,2,61,14,16,2026-09-15 18:00:00
233,2,134,54,22,2026-09-15 18:00:00
234,2,192,33,21,2026-09-15 18:00:00
235,2,221,32,24,2026-09-15 18:00:00
236,2,77,11,20,2026-09-15 18:00:00
237,2,216,9,12,2026-09-15 18:00:00
238,2,147,71,16,2026-09-15 18:00:00
239,2,117,6,11,2026-09-15 18:00:00
240,2,203,17,22,2026-09-15 18:00:00
241,2,67,69,20,2026-09-15 18:00:00
242,2,197,30,25,2026-09-15 18:00:00
243,2,40,20,10,2026-09-15 18:00:00
244,2,219,43,15,2026-09-15 18:00:00
245,2,72,20,18,2026-09-15 18:00:00
246,2,80,35,15,2026-09-15 18:00:00
247,2,23,73,18,2026-09-15 18:00:00
248,2,114,24,15,2026-09-15 18:00:00
249,2,90,42,15,2026-09-15 18:00:00
250,2,54,15,24,2026-09-15 18:00:00
251,2,153,46,21,2026-09-15 18:00:00
252,2,109,45,13,2026-09-15 18:00:00
253,2,124,48,12,2026-09-15 18:00:00
254,2,120,70,15,2026-09-15 18:00:00
255,2,93,41,21,2026-09-15 18:00:00
256,2,231,71,21,2026-09-15 18:00:00
257,2,106,16,24,2026-09-15 18:00:00
258,2,36,57,12,2026-09-15 18:00:00
259,2,31,21,10,2026-09-15 18:00:00
260,2,2,10,13,2026-09-15 18:00:00
261,2,37,74,23,2026-09-15 18:00:00
262,2,125,13,22,2026-09-15 18:00:00
263,2,59,74,13,2026-09-15 18:00:00
264,2,86,77,17,2026-09-15 18:00:00
265,2,142,68,19,2026-09-15 18:00:00
266,2,224,23,20,2026-09-15 18:00:00
267,2,16,17,25,2026-09-15 18:00:00
268,2,113,79,14,2026-09-15 18:00:00
269,2,152,40,10,2026-09-15 18:00:00
270,2,154,41,15,2026-09-15 18:00:00
271,2,39,71,10,2026-09-15 18:00:00
272,2,76,68,15,2026-09-15 18:00:00
273,2,201,53,19,2026-09-15 18:00:00
274,2,95,72,13,2026-09-15 18:00:00
275,2,105,59,13,2026-09-15 18:00:00
276,2,123,43,19,2026-09-15 18:00:00
277,2,161,31,17,2026-09-15 18:00:00
278,2,121,30,25,2026-09-15 18:00:00
279,2,168,11,10,2026-09-15 18:00:00
280,2,10,80,11,2026-09-15 18:00:00
281,2,48,56,11,2026-09-15 18:00:00
282,2,18,15,15,2026-09-15 18:00:00
283,2,211,11,17,2026-09-15 18:00:00
284,2,156,17,18,2026-09-15 18:00:00
285,2,180,40,10,2026-09-15 18:00:00
286,2,166,54,11,2026-09-15 18:00:00
287,2,214,32,17,2026-09-15 18:00:00
288,2,9,40,13,2026-09-15 18:00:00
289,2,21,55,24,2026-09-15 18:00:00
290,2,70,30,25,2026-09-15 18:00:00
291,2,163,11,10,2026-09-15 18:00:00
292,2,53,56,13,2026-09-15 18:00:00
293,2,71,53,19,2026-09-15 18:00:00
294,2,85,14,12,2026-09-15 18:00:00
295,2,58,76,20,2026-09-15 18:00:00
296,2,98,32,21,2026-09-15 18:00:00
297,2,78,71,11,2026-09-15 18:00:00
298,2,73,64,23,2026-09-15 18:00:00
299,2,29,55,18,2026-09-15 18:00:00
300,2,151,14,17,2026-09-15 18:00:00
301,2,228,48,19,2026-09-15 18:00:00
302,2,35,30,14,2026-09-15 18:00:00
303,2,43,21,23,2026-09-15 18:00:00
304,2,157,6,13,2026-09-15 18:00:00
305,2,89,57,16,2026-09-15 18:00:00
306,2,165,54,12,2026-09-15 18:00:00
307,2,42,39,20,2026-09-15 18:00:00
308,2,160,70,17,2026-09-15 18:00:00
