movement_id,store_id,product_id,movement_type,quantity,reference_type,reference_id,created_at
1,3,180,PURCHASE,28,OPENING_STOCK,,2026-04-01 09:00:00
2,1,133,PURCHASE,64,OPENING_STOCK,,2026-04-01 09:00:00
3,4,112,PURCHASE,62,OPENING_STOCK,,2026-04-01 09:00:00
4,2,130,PURCHASE,44,OPENING_STOCK,,2026-04-01 09:00:00
5,2,41,PURCHASE,33,OPENING_STOCK,,2026-04-01 09:00:00
6,5,100,PURCHASE,76,OPENING_STOCK,,2026-04-01 09:00:00
7,1,27,PURCHASE,69,OPENING_STOCK,,2026-04-01 09:00:00
8,3,168,PURCHASE,68,OPENING_STOCK,,2026-04-01 09:00:00
9,2,138,PURCHASE,44,OPENING_STOCK,,2026-04-01 09:00:00
10,4,17,PURCHASE,68,OPENING_STOCK,,2026-04-01 09:00:00
11,4,153,PURCHASE,58,OPENING_STOCK,,2026-04-01 09:00:00
12,1,219,PURCHASE,41,OPENING_STOCK,,2026-04-01 09:00:00
13,4,86,PURCHASE,53,OPENING_STOCK,,2026-04-01 09:00:00
14,5,214,PURCHASE,22,OPENING_STOCK,,2026-04-01 09:00:00
15,2,40,PURCHASE,20,OPENING_STOCK,,2026-04-01 09:00:00
16,4,63,PURCHASE,20,OPENING_STOCK,,2026-04-01 09:00:00
17,1,50,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
18,1,9,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
19,4,94,PURCHASE,36,OPENING_STOCK,,2026-04-01 09:00:00
20,5,208,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
21,4,197,PURCHASE,62,OPENING_STOCK,,2026-04-01 09:00:00
22,2,58,PURCHASE,58,OPENING_STOCK,,2026-04-01 09:00:00
23,2,121,PURCHASE,73,OPENING_STOCK,,2026-04-01 09:00:00
24,5,35,PURCHASE,25,OPENING_STOCK,,2026-04-01 09:00:00
25,3,125,PURCHASE,46,OPENING_STOCK,,2026-04-01 09:00:00
26,5,193,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
27,5,228,PURCHASE,74,OPENING_STOCK,,2026-04-01 09:00:00
28,3,198,PURCHASE,42,OPENING_STOCK,,2026-04-01 09:00:00
29,4,165,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
30,1,83,PURCHASE,62,OPENING_STOCK,,2026-04-01 09:00:00
31,4,26,PURCHASE,64,OPENING_STOCK,,2026-04-01 09:00:00
32,2,191,PURCHASE,39,OPENING_STOCK,,2026-04-01 09:00:00
33,3,179,PURCHASE,24,OPENING_STOCK,,2026-04-01 09:00:00
34,1,22,PURCHASE,80,OPENING_STOCK,,2026-04-01 09:00:00
35,1,86,PURCHASE,46,OPENING_STOCK,,2026-04-01 09:00:00
36,4,95,PURCHASE,42,OPENING_STOCK,,2026-04-01 09:00:00
37,2,98,PURCHASE,76,OPENING_STOCK,,2026-04-01 09:00:00
38,1,65,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
39,2,125,PURCHASE,78,OPENING_STOCK,,2026-04-01 09:00:00
40,3,72,PURCHASE,27,OPENING_STOCK,,2026-04-01 09:00:00
41,1,217,PURCHASE,25,OPENING_STOCK,,2026-04-01 09:00:00
42,3,99,PURCHASE,47,OPENING_STOCK,,2026-04-01 09:00:00
43,4,146,PURCHASE,79,OPENING_STOCK,,2026-04-01 09:00:00
44,1,42,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
45,4,127,PURCHASE,62,OPENING_STOCK,,2026-04-01 09:00:00
46,4,148,PURCHASE,32,OPENING_STOCK,,2026-04-01 09:00:00
47,3,154,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
48,1,203,PURCHASE,67,OPENING_STOCK,,2026-04-01 09:00:00
49,5,111,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
50,1,57,PURCHASE,32,OPENING_STOCK,,2026-04-01 09:00:00
51,2,90,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
52,2,170,PURCHASE,56,OPENING_STOCK,,2026-04-01 09:00:00
53,4,171,PURCHASE,49,OPENING_STOCK,,2026-04-01 09:00:00
54,4,40,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
55,5,98,PURCHASE,79,OPENING_STOCK,,2026-04-01 09:00:00
56,2,12,PURCHASE,67,OPENING_STOCK,,2026-04-01 09:00:00
57,1,216,PURCHASE,34,OPENING_STOCK,,2026-04-01 09:00:00
58,3,108,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
59,4,78,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
60,2,76,PURCHASE,62,OPENING_STOCK,,2026-04-01 09:00:00
61,4,103,PURCHASE,65,OPENING_STOCK,,2026-04-01 09:00:00
62,1,116,PURCHASE,62,OPENING_STOCK,,2026-04-01 09:00:00
63,2,180,PURCHASE,52,OPENING_STOCK,,2026-04-01 09:00:00
64,2,166,PURCHASE,45,OPENING_STOCK,,2026-04-01 09:00:00
65,2,239,PURCHASE,52,OPENING_STOCK,,2026-04-01 09:00:00
66,4,150,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
67,5,48,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
68,5,138,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
69,3,20,PURCHASE,50,OPENING_STOCK,,2026-04-01 09:00:00
70,4,136,PURCHASE,51,OPENING_STOCK,,2026-04-01 09:00:00
71,3,27,PURCHASE,48,OPENING_STOCK,,2026-04-01 09:00:00
72,4,79,PURCHASE,64,OPENING_STOCK,,2026-04-01 09:00:00
73,2,5,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
74,2,155,PURCHASE,39,OPENING_STOCK,,2026-04-01 09:00:00
75,2,172,PURCHASE,72,OPENING_STOCK,,2026-04-01 09:00:00
76,1,153,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
77,5,233,PURCHASE,42,OPENING_STOCK,,2026-04-01 09:00:00
78,3,54,PURCHASE,65,OPENING_STOCK,,2026-04-01 09:00:00
79,1,101,PURCHASE,76,OPENING_STOCK,,2026-04-01 09:00:00
80,3,91,PURCHASE,78,OPENING_STOCK,,2026-04-01 09:00:00
81,5,159,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
82,2,151,PURCHASE,27,OPENING_STOCK,,2026-04-01 09:00:00
83,1,238,PURCHASE,56,OPENING_STOCK,,2026-04-01 09:00:00
84,2,160,PURCHASE,57,OPENING_STOCK,,2026-04-01 09:00:00
85,5,61,PURCHASE,41,OPENING_STOCK,,2026-04-01 09:00:00
86,2,22,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
87,4,130,PURCHASE,57,OPENING_STOCK,,2026-04-01 09:00:00
88,1,192,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
89,5,206,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
90,4,232,PURCHASE,21,OPENING_STOCK,,2026-04-01 09:00:00
91,4,38,PURCHASE,46,OPENING_STOCK,,2026-04-01 09:00:00
92,3,81,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
93,5,162,PURCHASE,58,OPENING_STOCK,,2026-04-01 09:00:00
94,1,180,PURCHASE,77,OPENING_STOCK,,2026-04-01 09:00:00
95,4,156,PURCHASE,43,OPENING_STOCK,,2026-04-01 09:00:00
96,2,77,PURCHASE,46,OPENING_STOCK,,2026-04-01 09:00:00
97,2,69,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
98,5,195,PURCHASE,38,OPENING_STOCK,,2026-04-01 09:00:00
99,4,110,PURCHASE,64,OPENING_STOCK,,2026-04-01 09:00:00
100,5,166,PURCHASE,43,OPENING_STOCK,,2026-04-01 09:00:00
101,3,2,PURCHASE,58,OPENING_STOCK,,2026-04-01 09:00:00
102,1,4,PURCHASE,51,OPENING_STOCK,,2026-04-01 09:00:00
103,3,182,PURCHASE,39,OPENING_STOCK,,2026-04-01 09:00:00
104,1,119,PURCHASE,72,OPENING_STOCK,,2026-04-01 09:00:00
105,2,60,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
106,4,172,PURCHASE,79,OPENING_STOCK,,2026-04-01 09:00:00
107,3,74,PURCHASE,27,OPENING_STOCK,,2026-04-01 09:00:00
108,5,68,PURCHASE,39,OPENING_STOCK,,2026-04-01 09:00:00
109,2,122,PURCHASE,40,OPENING_STOCK,,2026-04-01 09:00:00
110,5,73,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
111,2,87,PURCHASE,53,OPENING_STOCK,,2026-04-01 09:00:00
112,2,204,PURCHASE,51,OPENING_STOCK,,2026-04-01 09:00:00
113,3,128,PURCHASE,33,OPENING_STOCK,,2026-04-01 09:00:00
114,1,78,PURCHASE,45,OPENING_STOCK,,2026-04-01 09:00:00
115,2,89,PURCHASE,43,OPENING_STOCK,,2026-04-01 09:00:00
116,1,131,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
117,5,142,PURCHASE,73,OPENING_STOCK,,2026-04-01 09:00:00
118,4,196,PURCHASE,43,OPENING_STOCK,,2026-04-01 09:00:00
119,3,225,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
120,1,211,PURCHASE,52,OPENING_STOCK,,2026-04-01 09:00:00
121,4,22,PURCHASE,42,OPENING_STOCK,,2026-04-01 09:00:00
122,4,126,PURCHASE,71,OPENING_STOCK,,2026-04-01 09:00:00
123,4,68,PURCHASE,38,OPENING_STOCK,,2026-04-01 09:00:00
124,3,100,PURCHASE,78,OPENING_STOCK,,2026-04-01 09:00:00
125,1,179,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
126,4,96,PURCHASE,38,OPENING_STOCK,,2026-04-01 09:00:00
127,2,51,PURCHASE,41,OPENING_STOCK,,2026-04-01 09:00:00
128,4,50,PURCHASE,57,OPENING_STOCK,,2026-04-01 09:00:00
129,4,19,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
130,2,11,PURCHASE,20,OPENING_STOCK,,2026-04-01 09:00:00
131,2,116,PURCHASE,29,OPENING_STOCK,,2026-04-01 09:00:00
132,2,187,PURCHASE,77,OPENING_STOCK,,2026-04-01 09:00:00
133,2,105,PURCHASE,65,OPENING_STOCK,,2026-04-01 09:00:00
134,1,70,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
135,4,216,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
136,3,120,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
137,3,112,PURCHASE,38,OPENING_STOCK,,2026-04-01 09:00:00
138,5,180,PURCHASE,76,OPENING_STOCK,,2026-04-01 09:00:00
139,2,176,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
140,3,33,PURCHASE,29,OPENING_STOCK,,2026-04-01 09:00:00
141,2,37,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
142,5,165,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
143,2,228,PURCHASE,37,OPENING_STOCK,,2026-04-01 09:00:00
144,4,152,PURCHASE,46,OPENING_STOCK,,2026-04-01 09:00:00
145,3,217,PURCHASE,33,OPENING_STOCK,,2026-04-01 09:00:00
146,2,71,PURCHASE,32,OPENING_STOCK,,2026-04-01 09:00:00
147,2,226,PURCHASE,52,OPENING_STOCK,,2026-04-01 09:00:00
148,5,8,PURCHASE,76,OPENING_STOCK,,2026-04-01 09:00:00
149,1,71,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
150,5,99,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
151,5,224,PURCHASE,52,OPENING_STOCK,,2026-04-01 09:00:00
152,5,168,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
153,2,88,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
154,3,76,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
155,2,9,PURCHASE,60,OPENING_STOCK,,2026-04-01 09:00:00
156,4,222,PURCHASE,49,OPENING_STOCK,,2026-04-01 09:00:00
157,2,153,PURCHASE,63,OPENING_STOCK,,2026-04-01 09:00:00
158,5,62,PURCHASE,33,OPENING_STOCK,,2026-04-01 09:00:00
159,2,237,PURCHASE,40,OPENING_STOCK,,2026-04-01 09:00:00
160,3,216,PURCHASE,34,OPENING_STOCK,,2026-04-01 09:00:00
161,5,39,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
162,2,48,PURCHASE,58,OPENING_STOCK,,2026-04-01 09:00:00
163,4,72,PURCHASE,36,OPENING_STOCK,,2026-04-01 09:00:00
164,2,162,PURCHASE,27,OPENING_STOCK,,2026-04-01 09:00:00
165,5,18,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
166,4,7,PURCHASE,48,OPENING_STOCK,,2026-04-01 09:00:00
167,3,80,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
168,1,32,PURCHASE,68,OPENING_STOCK,,2026-04-01 09:00:00
169,4,46,PURCHASE,48,OPENING_STOCK,,2026-04-01 09:00:00
170,5,40,PURCHASE,73,OPENING_STOCK,,2026-04-01 09:00:00
171,1,190,PURCHASE,24,OPENING_STOCK,,2026-04-01 09:00:00
172,4,205,PURCHASE,49,OPENING_STOCK,,2026-04-01 09:00:00
173,4,27,PURCHASE,54,OPENING_STOCK,,2026-04-01 09:00:00
174,2,67,PURCHASE,39,OPENING_STOCK,,2026-04-01 09:00:00
175,5,41,PURCHASE,43,OPENING_STOCK,,2026-04-01 09:00:00
176,2,52,PURCHASE,53,OPENING_STOCK,,2026-04-01 09:00:00
177,5,173,PURCHASE,51,OPENING_STOCK,,2026-04-01 09:00:00
178,1,28,PURCHASE,74,OPENING_STOCK,,2026-04-01 09:00:00
179,5,64,PURCHASE,41,OPENING_STOCK,,2026-04-01 09:00:00
180,1,155,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
181,5,238,PURCHASE,44,OPENING_STOCK,,2026-04-01 09:00:00
182,3,53,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
183,3,201,PURCHASE,31,OPENING_STOCK,,2026-04-01 09:00:00
184,1,55,PURCHASE,74,OPENING_STOCK,,2026-04-01 09:00:00
185,4,31,PURCHASE,80,OPENING_STOCK,,2026-04-01 09:00:00
186,5,59,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
187,3,132,PURCHASE,40,OPENING_STOCK,,2026-04-01 09:00:00
188,2,72,PURCHASE,50,OPENING_STOCK,,2026-04-01 09:00:00
189,2,68,PURCHASE,37,OPENING_STOCK,,2026-04-01 09:00:00
190,4,115,PURCHASE,32,OPENING_STOCK,,2026-04-01 09:00:00
191,1,56,PURCHASE,33,OPENING_STOCK,,2026-04-01 09:00:00
192,2,192,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
193,5,81,PURCHASE,70,OPENING_STOCK,,2026-04-01 09:00:00
194,4,9,PURCHASE,27,OPENING_STOCK,,2026-04-01 09:00:00
195,1,35,PURCHASE,46,OPENING_STOCK,,2026-04-01 09:00:00
196,2,235,PURCHASE,37,OPENING_STOCK,,2026-04-01 09:00:00
197,5,137,PURCHASE,48,OPENING_STOCK,,2026-04-01 09:00:00
198,1,82,PURCHASE,54,OPENING_STOCK,,2026-04-01 09:00:00
199,4,219,PURCHASE,57,OPENING_STOCK,,2026-04-01 09:00:00
200,4,85,PURCHASE,45,OPENING_STOCK,,2026-04-01 09:00:00
201,5,88,PURCHASE,80,OPENING_STOCK,,2026-04-01 09:00:00
202,4,81,PURCHASE,24,OPENING_STOCK,,2026-04-01 09:00:00
203,2,115,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
204,3,158,PURCHASE,41,OPENING_STOCK,,2026-04-01 09:00:00
205,5,128,PURCHASE,32,OPENING_STOCK,,2026-04-01 09:00:00
206,5,219,PURCHASE,66,OPENING_STOCK,,2026-04-01 09:00:00
207,3,142,PURCHASE,47,OPENING_STOCK,,2026-04-01 09:00:00
208,5,117,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
209,1,115,PURCHASE,21,OPENING_STOCK,,2026-04-01 09:00:00
210,5,97,PURCHASE,73,OPENING_STOCK,,2026-04-01 09:00:00
211,1,201,PURCHASE,67,OPENING_STOCK,,2026-04-01 09:00:00
212,4,37,PURCHASE,51,OPENING_STOCK,,2026-04-01 09:00:00
213,5,1,PURCHASE,38,OPENING_STOCK,,2026-04-01 09:00:00
214,2,124,PURCHASE,65,OPENING_STOCK,,2026-04-01 09:00:00
215,5,232,PURCHASE,32,OPENING_STOCK,,2026-04-01 09:00:00
216,1,157,PURCHASE,78,OPENING_STOCK,,2026-04-01 09:00:00
217,5,83,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
218,1,44,PURCHASE,56,OPENING_STOCK,,2026-04-01 09:00:00
219,1,149,PURCHASE,54,OPENING_STOCK,,2026-04-01 09:00:00
220,2,64,PURCHASE,57,OPENING_STOCK,,2026-04-01 09:00:00
221,1,107,PURCHASE,67,OPENING_STOCK,,2026-04-01 09:00:00
222,5,63,PURCHASE,56,OPENING_STOCK,,2026-04-01 09:00:00
223,4,5,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
224,5,80,PURCHASE,54,OPENING_STOCK,,2026-04-01 09:00:00
225,2,158,PURCHASE,67,OPENING_STOCK,,2026-04-01 09:00:00
226,4,157,PURCHASE,22,OPENING_STOCK,,2026-04-01 09:00:00
227,1,127,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
228,4,87,PURCHASE,20,OPENING_STOCK,,2026-04-01 09:00:00
229,4,182,PURCHASE,49,OPENING_STOCK,,2026-04-01 09:00:00
230,4,137,PURCHASE,42,OPENING_STOCK,,2026-04-01 09:00:00
231,3,131,PURCHASE,23,OPENING_STOCK,,2026-04-01 09:00:00
232,2,142,PURCHASE,39,OPENING_STOCK,,2026-04-01 09:00:00
233,3,226,PURCHASE,69,OPENING_STOCK,,2026-04-01 09:00:00
234,5,229,PURCHASE,35,OPENING_STOCK,,2026-04-01 09:00:00
235,1,18,PURCHASE,66,OPENING_STOCK,,2026-04-01 09:00:00
236,3,156,PURCHASE,34,OPENING_STOCK,,2026-04-01 09:00:00
237,5,46,PURCHASE,26,OPENING_STOCK,,2026-04-01 09:00:00
238,3,141,PURCHASE,43,OPENING_STOCK,,2026-04-01 09:00:00
239,1,124,PURCHASE,67,OPENING_STOCK,,2026-04-01 09:00:00
240,2,238,PURCHASE,56,OPENING_STOCK,,2026-04-01 09:00:00
241,3,157,PURCHASE,80,OPENING_STOCK,,2026-04-01 09:00:00
242,5,51,PURCHASE,74,OPENING_STOCK,,2026-04-01 09:00:00
243,1,161,PURCHASE,56,OPENING_STOCK,,2026-04-01 09:00:00
244,1,177,PURCHASE,59,OPENING_STOCK,,2026-04-01 09:00:00
245,4,45,PURCHASE,55,OPENING_STOCK,,2026-04-01 09:00:00
246,3,40,PURCHASE,78,OPENING_STOCK,,2026-04-01 09:00:00
247,1,237,PURCHASE,75,OPENING_STOCK,,2026-04-01 09:00:00
248,1,181,PURCHASE,61,OPENING_STOCK,,2026-04-01 09:00:00
249,1,141,PURCHASE,52,OPENING_STOCK,,2026-04-01 09:00:00
250,1,139,PURCHASE,70,OPENING_STOCK,,2026-04-01 09:00:00
251,4,83,PURCHASE,50,OPENING_STOCK,,2026-04-01 09:00:00
252,2,43,PURCHASE,20,OPENING_STOCK,,2026-04-01 09:00:00
253,4,1,PURCHASE,37,OPENING_STOCK,,2026-04-01 09:00:00
254,2,29,PURCHASE,45,OPENING_STOCK,,2026-04-01 09:00:00
255,5,236,PURCHASE,28,OPENING_STOCK,,2026-04-01 09:00:00
256,2,147,PURCHASE,77,OPENING_STOCK,,2026-04-01 09:00:00
257,4,129,PURCHASE,54,OPENING_STOCK,,2026-04-01 09:00:00
258,5,133,PURCHASE,24,OPENING_STOCK,,2026-04-01 09:00:00
259,3,208,PURCHASE,41,OPENING_STOCK,,2026-04-01 09:00:00
260,3,58,PURCHASE,58,OPENING_STOCK,,2026-04-01 09:00:00
