payment_id,sale_id,payment_method,amount,payment_status,transaction_reference,paid_at
1,1,CASH,135526.83,success,TXN-00000001,2026-09-22 12:36:00
2,3,CASH,114401.37,success,TXN-00000003,2026-05-27 18:21:00
3,4,CASH,288711.16,success,TXN-00000004,2026-05-01 20:45:00
4,5,CARD,185849.52,success,TXN-00000005,2026-05-24 16:02:00
5,6,UPI,305335.48,success,TXN-00000006,2026-05-08 20:16:00
6,7,CARD,296441.07,success,TXN-00000007,2026-09-09 10:53:00
7,8,CARD,323121.27,success,TXN-00000008,2026-09-20 17:42:00
8,9,UPI,382362.32,success,TXN-00000009,2026-09-15 13:50:00
9,10,BANK_TRANSFER,171678.99,success,TXN-00000010,2026-09-27 20:22:00
10,11,BANK_TRANSFER,154927.74,success,TXN-00000011,2026-09-06 11:20:00
11,12,UPI,325199.55,success,TXN-00000012,2026-07-23 11:45:00
12,13,UPI,158181.55,success,TXN-00000013,2026-06-13 16:59:00
13,14,UPI,399180.99,success,TXN-00000014,2026-05-30 09:49:00
14,15,BANK_TRANSFER,218875.84,success,TXN-00000015,2026-09-14 20:41:00
15,16,CARD,119912.39,success,TXN-00000016,2026-04-13 17:02:00
16,17,CASH,443825.59,success,TXN-00000017,2026-07-17 14:17:00
17,18,UPI,59521.44,success,TXN-00000018,2026-06-03 16:13:00
18,19,BANK_TRANSFER,41422.53,success,TXN-00000019,2026-08-02 19:30:00
19,20,UPI,350519.19,success,TXN-00000020,2026-06-10 18:09:00
20,21,UPI,224101.67,success,TXN-00000021,2026-08-16 10:24:00
21,22,BANK_TRANSFER,264844.92,success,TXN-00000022,2026-09-26 16:36:00
22,23,CASH,134401.89,success,TXN-00000023,2026-07-03 18:19:00
23,24,BANK_TRANSFER,33434.0,success,TXN-00000024,2026-05-04 12:17:00
24,25,UPI,77598.61,success,TXN-00000025,2026-07-03 12:53:00
25,26,CASH,61933.69,success,TXN-00000026,2026-07-16 14:53:00
26,27,UPI,157039.04,success,TXN-00000027,2026-05-30 17:49:00
27,29,UPI,278669.09,success,TXN-00000029,2026-09-10 16:02:00
28,30,CARD,190584.86,success,TXN-00000030,2026-05-05 13:05:00
29,31,UPI,90135.39,success,TXN-00000031,2026-08-28 12:34:00
30,32,BANK_TRANSFER,61230.18,success,TXN-00000032,2026-08-26 15:35:00
31,33,CASH,5815.16,success,TXN-00000033,2026-09-15 19:17:00
32,34,BANK_TRANSFER,186541.44,success,TXN-00000034,2026-08-07 20:19:00
33,35,BANK_TRANSFER,134790.99,success,TXN-00000035,2026-07-31 19:12:00
34,36,CASH,199194.25,success,TXN-00000036,2026-08-22 12:43:00
35,37,UPI,362588.92,success,TXN-00000037,2026-08-31 19:05:00
36,38,CASH,281439.13,success,TXN-00000038,2026-09-06 12:13:00
37,39,CASH,115547.29,success,TXN-00000039,2026-09-26 19:29:00
38,40,CASH,250153.13,success,TXN-00000040,2026-09-14 15:25:00
39,41,UPI,217673.9,success,TXN-00000041,2026-05-11 09:40:00
40,42,BANK_TRANSFER,90385.96,success,TXN-00000042,2026-06-27 15:52:00
41,43,CARD,51328.1,success,TXN-00000043,2026-08-17 11:27:00
