sale_id,invoice_number,store_id,customer_id,status,raw_amount,raw_date
1,INV-000001,2,188,completed,"₹135,526.83",22/09/2026
2,INV-000002,1,943,cancelled,"₹317,737.61",21/04/2026
3,INV-000003,5,408,completed,"₹114,401.37",27/05/2026
4,INV-000004,2,1000,completed,"₹288,711.16",01/05/2026
5,INV-000005,2,435,completed,"₹186,849.52",24/05/2026
6,INV-000006,4,201,completed,"₹305,335.48",08/05/2026
7,INV-000007,3,860,completed,"₹296,441.07",09/09/2026
8,INV-000008,3,333,completed,"₹323,121.27",20/09/2026
9,INV-000009,2,325,completed,"₹382,362.32",15/09/2026
10,INV-000010,2,964,completed,"₹171,678.99",27/09/2026
11,INV-000011,1,269,completed,"₹154,927.74",06/09/2026
12,INV-000012,5,562,completed,"₹325,199.55",23/07/2026
13,INV-000013,5,353,completed,"₹158,181.55",13/06/2026
14,INV-000014,4,612,completed,"₹399,180.99",30/05/2026
15,INV-000015,2,292,completed,"₹218,875.84",14/09/2026
16,INV-000016,3,156,completed,"₹119,912.39",13/04/2026
17,INV-000017,4,351,completed,"₹443,825.59",17/07/2026
18,INV-000018,4,125,completed,"₹59,521.44",03/06/2026
19,INV-000019,5,260,completed,"₹41,422.53",02/08/2026
20,INV-000020,1,814,completed,"₹350,519.19",10/06/2026
21,INV-000021,3,719,completed,"₹224,101.67",16/08/2026
22,INV-000022,4,556,completed,"₹264,844.92",26/09/2026
23,INV-000023,2,635,completed,"₹134,401.89",03/07/2026
24,INV-000024,1,45,completed,"₹33,434.00",04/05/2026
25,INV-000025,4,51,completed,"₹77,598.61",03/07/2026
26,INV-000026,1,572,completed,"₹61,933.69",16/07/2026
27,INV-000027,2,104,completed,"₹157,039.04",30/05/2026
28,INV-000028,5,691,cancelled,"₹261,894.91",27/07/2026
29,INV-000029,3,783,completed,"₹278,669.09",10/09/2026
30,INV-000030,5,531,completed,"₹190,584.86",05/05/2026
31,INV-000031,3,911,completed,"₹90,135.39",28/08/2026
32,INV-000032,3,749,completed,"₹61,230.18",26/08/2026
33,INV-000033,1,766,completed,"₹5,815.16",15/09/2026
34,INV-000034,5,335,completed,"₹186,541.44",07/08/2026
35,INV-000035,2,85,completed,"₹134,790.99",31/07/2026
36,INV-000036,2,493,completed,"₹199,194.25",22/08/2026
37,INV-000037,2,353,completed,"₹362,588.92",31/08/2026
38,INV-000038,1,972,completed,"₹281,439.13",06/09/2026
39,INV-000039,4,712,completed,"₹115,547.29",26/09/2026
40,INV-000040,1,300,completed,"₹250,153.13",14/09/2026
41,INV-000041,4,763,completed,"₹217,673.90",11/05/2026
42,INV-000042,3,156,completed,"₹90,385.96",27/06/2026
43,INV-000043,5,460,completed,"₹51,328.10",17/08/2026
44,INV-000044,2,326,completed,"₹8,920.60",18/04/2026
45,INV-000045,3,985,completed,"₹220,530.70",15/07/2026
46,INV-000046,1,82,completed,"₹312,811.46",24/09/2026
47,INV-000047,2,68,completed,"₹256,291.75",16/05/2026
48,INV-000048,2,753,completed,"₹649,012.68",11/04/2026
49,INV-000049,4,740,completed,"₹339,532.92",07/08/2026
50,INV-000050,4,88,completed,"₹207,207.55",13/08/2026
51,INV-000051,2,921,completed,"₹655,013.52",04/05/2026
52,INV-000052,5,635,completed,"₹104,728.20",08/09/2026
53,INV-000053,1,112,completed,"₹124,395.70",16/07/2026
54,INV-000054,1,864,cancelled,"₹279,024.32",19/08/2026
55,INV-000055,5,496,completed,"₹229,922.05",24/09/2026
56,INV-000056,2,726,completed,"₹5,149.31",14/06/2026
57,INV-000057,5,424,completed,"₹321,080.45",12/04/2026
58,INV-000058,2,339,completed,"₹426,307.83",26/06/2026
59,INV-000059,3,214,completed,"₹230,065.85",26/08/2026
60,INV-000060,3,727,completed,"₹108,657.36",09/04/2026
61,INV-000061,5,180,completed,"₹59,823.10",29/04/2026
62,INV-000062,4,195,completed,"₹124,379.33",27/06/2026
63,INV-000063,4,106,completed,"₹203,217.34",12/08/2026
64,INV-000064,1,153,completed,"₹8,582.75",11/05/2026
65,INV-000065,2,588,completed,"₹110,382.02",02/06/2026
66,INV-000066,2,632,completed,"₹205,562.63",01/07/2026
67,INV-000067,4,701,completed,"₹434,573.70",12/09/2026
68,INV-000068,3,473,completed,"₹120,904.36",14/05/2026
69,INV-000069,4,636,completed,"₹327,820.63",02/06/2026
70,INV-000070,5,334,completed,"₹128,136.15",21/08/2026
71,INV-000071,2,464,completed,"₹206,526.44",15/08/2026
72,INV-000072,3,379,completed,"₹410,242.54",19/08/2026
73,INV-000073,3,158,cancelled,"₹200,483.04",13/06/2026
74,INV-000074,2,141,completed,"₹513,513.98",12/09/2026
75,INV-000075,2,421,completed,"₹137,376.84",18/08/2026
76,INV-000076,1,748,completed,"₹168,086.28",13/08/2026
77,INV-000077,3,362,completed,"₹128,017.31",15/06/2026
78,INV-000078,4,587,completed,"₹259,449.16",14/04/2026
79,INV-000079,4,828,completed,"₹67,482.31",15/05/2026
80,INV-000080,4,789,completed,"₹179,398.49",08/07/2026
81,INV-000081,4,269,completed,"₹345,529.47",08/05/2026
82,INV-000082,3,822,completed,"₹213,803.96",26/04/2026
83,INV-000083,4,225,completed,"₹1,382.29",12/06/2026
84,INV-000084,1,89,completed,"₹289,866.40",02/09/2026
85,INV-000085,1,398,completed,"₹63,250.74",25/06/2026
86,INV-000086,5,935,completed,"₹11,586.51",23/07/2026
87,INV-000087,4,669,completed,"₹150,067.66",11/09/2026
88,INV-000088,1,490,completed,"₹11,382.36",21/07/2026
89,INV-000089,5,342,completed,"₹43,219.10",22/09/2026
90,INV-000090,4,664,completed,"₹49,754.97",22/05/2026
91,INV-000091,3,87,completed,"₹94,551.35",09/09/2026
92,INV-000092,5,990,completed,"₹24,651.23",05/04/2026
93,INV-000093,5,759,completed,"₹70,633.22",27/08/2026
