refund_id,return_id,payment_id,amount,refund_method,refund_status,processed_at
1,1,3935,16393.6,UPI,processed,2026-09-15 12:00:00
2,2,1957,33380.47,CARD,processed,2026-09-15 12:00:00
3,3,4499,35458.04,CASH,processed,2026-09-15 12:00:00
4,4,1643,34073.18,CARD,processed,2026-09-15 12:00:00
5,5,1822,39405.96,CARD,processed,2026-09-15 12:00:00
6,6,1741,12189.5,UPI,processed,2026-09-15 12:00:00
7,7,3276,73693.94,CASH,processed,2026-09-15 12:00:00
8,8,3897,74603.56,UPI,processed,2026-09-15 12:00:00
9,9,329,14277.68,CARD,processed,2026-09-15 12:00:00
10,10,3652,10008.94,UPI,processed,2026-09-15 12:00:00
11,11,3493,18493.58,CARD,processed,2026-09-15 12:00:00
12,12,1329,39063.0,CASH,processed,2026-09-15 12:00:00
13,13,4240,10413.95,CASH,processed,2026-09-15 12:00:00
14,14,147,54170.67,CARD,processed,2026-09-15 12:00:00
15,15,4752,20387.0,CARD,processed,2026-09-15 12:00:00
16,16,2839,17341.34,CASH,processed,2026-09-15 12:00:00
17,17,3340,35127.56,UPI,processed,2026-09-15 12:00:00
18,18,156,49539.9,UPI,processed,2026-09-15 12:00:00
19,19,2798,18151.42,UPI,processed,2026-09-15 12:00:00
20,20,1121,58657.46,CASH,processed,2026-09-15 12:00:00
21,21,2533,25457.89,UPI,processed,2026-09-15 12:00:00
22,22,2559,58373.47,CARD,processed,2026-09-15 12:00:00
23,23,81,2576.94,UPI,processed,2026-09-15 12:00:00
24,24,4600,42917.66,CARD,processed,2026-09-15 12:00:00
25,25,2418,64781.59,CASH,processed,2026-09-15 12:00:00
26,26,4080,20675.37,CASH,processed,2026-09-15 12:00:00
27,27,3632,13255.46,CARD,processed,2026-09-15 12:00:00
28,28,892,5105.82,CASH,processed,2026-09-15 12:00:00
29,29,146,38795.76,UPI,processed,2026-09-15 12:00:00
30,30,303,37699.23,CASH,processed,2026-09-15 12:00:00
31,31,1176,32087.14,CARD,processed,2026-09-15 12:00:00
32,32,3643,112.45,UPI,processed,2026-09-15 12:00:00
33,33,2790,50007.69,UPI,processed,2026-09-15 12:00:00
34,34,4058,35274.11,UPI,processed,2026-09-15 12:00:00
35,35,4571,34532.64,UPI,processed,2026-09-15 12:00:00
36,36,4392,14899.96,CASH,processed,2026-09-15 12:00:00
37,37,3389,111261.53,CARD,processed,2026-09-15 12:00:00
38,38,4427,10706.5,UPI,processed,2026-09-15 12:00:00
39,39,3946,76112.44,CARD,processed,2026-09-15 12:00:00
40,40,4072,23307.11,CARD,processed,2026-09-15 12:00:00
41,41,4466,12567.65,CASH,processed,2026-09-15 12:00:00
42,42,981,10789.74,UPI,processed,2026-09-15 12:00:00
43,43,988,83456.65,CARD,processed,2026-09-15 12:00:00
44,44,3554,39124.79,UPI,processed,2026-09-15 12:00:00
45,45,2303,27615.58,CASH,processed,2026-09-15 12:00:00
46,46,407,40264.08,CASH,processed,2026-09-15 12:00:00
47,47,1029,2617.36,UPI,processed,2026-09-15 12:00:00
48,48,2501,26148.46,CASH,processed,2026-09-15 12:00:00
49,49,4439,71613.13,CARD,processed,2026-09-15 12:00:00
50,50,1583,13290.58,UPI,processed,2026-09-15 12:00:00
51,51,4176,49450.7,CASH,processed,2026-09-15 12:00:00
52,52,4657,22853.49,UPI,processed,2026-09-15 12:00:00
53,53,3572,19471.8,UPI,processed,2026-09-15 12:00:00
54,54,3108,38737.48,CARD,processed,2026-09-15 12:00:00
55,55,2723,2480.01,CASH,processed,2026-09-15 12:00:00
56,56,1576,85262.71,UPI,processed,2026-09-15 12:00:00
57,57,3233,2552.42,UPI,processed,2026-09-15 12:00:00
58,58,3870,14400.3,CASH,processed,2026-09-15 12:00:00
59,59,3278,36711.8,CASH,processed,2026-09-15 12:00:00
60,60,1764,33048.91,CARD,processed,2026-09-15 12:00:00
61,61,3658,25165.43,CARD,processed,2026-09-15 12:00:00
62,62,1347,11331.04,CASH,processed,2026-09-15 12:00:00
63,63,4442,61615.05,UPI,processed,2026-09-15 12:00:00
64,64,3708,21456.17,CARD,processed,2026-09-15 12:00:00
