return_item_id,return_id,product_id,quantity,refund_amount,reason
1,1,212,2,16393.6,Size issue
2,2,37,1,33380.47,Damaged
3,3,39,1,35458.04,Defective
4,4,121,2,34073.18,Damaged
5,5,176,1,39405.96,Defective
6,6,106,1,12189.5,Size issue
7,7,58,2,73693.94,Customer changed mind
8,8,196,2,74603.56,Defective
9,9,164,1,14277.68,Size issue
10,10,169,1,10008.94,Size issue
11,11,103,1,18493.58,Customer changed mind
12,12,151,1,39063.0,Wrong product
13,13,184,1,10413.95,Damaged
14,14,190,4,54170.67,Damaged
15,15,232,2,20387.0,Wrong product
16,16,201,1,17341.34,Wrong product
17,17,105,2,35127.56,Wrong product
18,18,182,2,49539.9,Defective
19,19,107,1,18151.42,Size issue
20,20,164,4,58657.46,Wrong product
21,21,109,1,25457.89,Customer changed mind
22,22,52,2,58373.47,Wrong product
23,23,113,1,2576.94,Size issue
24,24,58,1,42917.66,Size issue
25,25,119,2,64781.59,Size issue
26,26,41,1,20675.37,Size issue
27,27,192,1,13255.46,Size issue
28,28,113,2,5105.82,Customer changed mind
29,29,82,4,38795.76,Defective
30,30,179,1,37699.23,Wrong product
31,31,187,1,32087.14,Size issue
32,32,63,1,112.45,Size issue
33,33,21,2,50007.69,Customer changed mind
34,34,72,3,35274.11,Wrong product
35,35,156,1,34532.64,Customer changed mind
36,36,79,1,14899.96,Wrong product
37,37,223,3,111261.53,Size issue
38,38,194,2,10706.5,Size issue
39,39,161,2,76112.44,Size issue
40,40,41,1,23307.11,Customer changed mind
41,41,27,1,12567.65,Wrong product
42,42,228,1,10789.74,Size issue
43,43,58,2,83456.65,Size issue
44,44,49,1,39124.79,Wrong product
45,45,203,1,27615.58,Defective
46,46,108,1,40264.08,Damaged
47,47,48,1,2617.36,Size issue
48,48,205,1,26148.46,Wrong product
49,49,11,2,71613.13,Wrong product
50,50,216,3,13290.58,Wrong product
51,51,170,3,49450.7,Damaged
52,52,115,3,22853.49,Damaged
53,53,220,1,19471.8,Damaged
54,54,49,1,38737.48,Defective
55,55,113,1,2480.01,Size issue
56,56,134,3,85262.71,Wrong product
57,57,48,1,2552.42,Size issue
58,58,29,2,14400.3,Size issue
59,59,178,1,36711.8,Defective
60,60,66,3,33048.91,Wrong product
61,61,239,1,25165.43,Size issue
62,62,106,1,11331.04,Defective
63,63,220,3,61615.05,Customer changed mind
64,64,143,1,21456.17,Customer changed mind
65,65,141,2,52190.55,Wrong product
66,66,175,1,26447.75,Damaged
67,67,6,3,25353.85,Wrong product
68,68,238,1,17096.69,Damaged
69,69,107,1,18481.89,Defective
70,70,134,1,29285.9,Damaged
71,71,144,2,65268.57,Damaged
72,72,128,2,96200.53,Wrong product
73,73,145,4,66978.19,Size issue
74,74,105,1,17035.89,Defective
75,75,105,1,16296.61,Defective
76,76,151,1,37486.11,Size issue
77,77,207,1,26021.01,Damaged
78,78,196,1,37323.74,Damaged
79,79,123,1,9324.52,Customer changed mind
80,80,114,3,68326.79,Defective
81,81,212,1,7713.07,Customer changed mind
82,82,83,1,30582.98,Wrong product
83,83,43,1,15621.98,Defective
84,84,148,2,59914.43,Defective
85,85,77,1,16816.73,Wrong product
86,86,188,1,14461.33,Wrong product
87,87,145,1,15836.88,Wrong product
88,88,80,1,8373.41,Size issue
89,89,109,4,99788.53,Damaged
90,90,186,1,21997.79,Damaged
91,91,143,1,20401.59,Customer changed mind
92,92,133,3,110500.86,Wrong product
93,93,228,2,19074.36,Size issue
94,94,73,2,32448.82,Wrong product
95,95,127,1,2884.89,Size issue
96,96,201,1,16651.27,Damaged
97,97,55,1,20388.85,Wrong product
98,98,200,1,27731.62,Customer changed mind
99,99,237,2,32828.78,Customer changed mind
100,100,132,1,12970.62,Wrong product
101,101,206,2,72915.6,Damaged
102,102,127,4,12834.74,Size issue
