return_id,sale_id,customer_id,store_id,return_date,reason,status,total_refund
1,4058,251,2,2026-06-16,Size issue,approved,16393.6
2,2018,306,4,2026-08-13,Damaged,approved,33380.47
3,4635,986,4,2026-07-09,Defective,approved,35458.04
4,1695,371,3,2026-05-15,Damaged,approved,34073.18
5,1882,324,3,2026-05-06,Defective,approved,39405.96
6,1797,727,2,2026-09-03,Size issue,approved,12189.5
7,3382,593,3,2026-06-24,Customer changed mind,approved,73693.94
8,4019,226,5,2026-06-14,Defective,approved,74603.56
9,342,282,3,2026-06-04,Size issue,approved,14277.68
10,3768,218,1,2026-06-02,Size issue,approved,10008.94
11,3605,744,3,2026-09-25,Customer changed mind,approved,18493.58
12,1369,683,5,2026-05-24,Wrong product,approved,39063.0
13,4370,807,5,2026-06-10,Damaged,approved,10413.95
14,153,487,2,2026-05-04,Damaged,approved,54170.67
15,4896,425,5,2026-06-15,Wrong product,approved,20387.0
16,2932,439,4,2026-06-17,Wrong product,approved,17341.34
17,3447,766,3,2026-07-13,Wrong product,approved,35127.56
18,162,931,2,2026-05-03,Defective,approved,49539.9
19,2887,448,3,2026-09-06,Size issue,approved,18151.42
20,1154,139,5,2026-08-16,Wrong product,approved,58657.46
21,2616,903,4,2026-07-07,Customer changed mind,approved,25457.89
22,2642,713,4,2026-08-12,Wrong product,approved,58373.47
23,85,398,1,2026-07-13,Size issue,approved,2576.94
24,4737,112,4,2026-09-23,Size issue,approved,42917.66
25,2498,815,3,2026-08-23,Size issue,approved,64781.59
26,4207,1000,4,2026-07-16,Size issue,approved,20675.37
27,3747,995,1,2026-08-02,Size issue,approved,13255.46
28,919,803,1,2026-09-01,Customer changed mind,approved,5105.82
29,152,503,5,2026-09-21,Defective,approved,38795.76
30,315,986,2,2026-05-15,Wrong product,approved,37699.23
31,1212,440,3,2026-08-24,Size issue,approved,32087.14
32,3759,600,1,2026-05-21,Size issue,approved,112.45
33,2879,809,2,2026-07-05,Customer changed mind,approved,50007.69
34,4184,353,1,2026-06-23,Wrong product,approved,35274.11
35,4708,443,1,2026-05-03,Customer changed mind,approved,34532.64
36,4527,16,2,2026-08-22,Wrong product,approved,14899.96
37,3496,261,4,2026-09-24,Size issue,approved,111261.53
38,4562,264,4,2026-09-15,Size issue,approved,10706.5
39,4069,419,2,2026-09-20,Size issue,approved,76112.44
40,4199,665,2,2026-08-11,Customer changed mind,approved,23307.11
41,4601,495,2,2026-07-02,Wrong product,approved,12567.65
42,1009,701,5,2026-07-01,Size issue,approved,10789.74
43,1016,510,3,2026-09-20,Size issue,approved,83456.65
44,3667,326,5,2026-08-19,Wrong product,approved,39124.79
45,2376,358,5,2026-08-17,Defective,approved,27615.58
46,420,99,4,2026-05-23,Damaged,approved,40264.08
47,1060,579,1,2026-07-08,Size issue,approved,2617.36
48,2584,421,1,2026-08-22,Wrong product,approved,26148.46
49,4574,350,2,2026-05-20,Wrong product,approved,71613.13
50,1633,653,5,2026-08-07,Wrong product,approved,13290.58
51,4305,492,4,2026-05-08,Damaged,approved,49450.7
52,4795,767,3,2026-08-09,Damaged,approved,22853.49
53,3686,760,5,2026-05-20,Damaged,approved,19471.8
54,3208,57,2,2026-09-02,Defective,approved,38737.48
55,2810,298,2,2026-07-21,Size issue,approved,2480.01
56,1625,82,3,2026-08-25,Wrong product,approved,85262.71
57,3337,461,4,2026-08-10,Size issue,approved,2552.42
58,3992,955,4,2026-08-08,Size issue,approved,14400.3
59,3384,196,1,2026-07-11,Defective,approved,36711.8
60,1822,627,1,2026-08-01,Wrong product,approved,33048.91
61,3774,813,3,2026-05-12,Size issue,approved,25165.43
62,1387,685,4,2026-09-17,Defective,approved,11331.04
63,4577,816,3,2026-09-01,Customer changed mind,approved,61615.05
64,3826,794,2,2026-06-03,Customer changed mind,approved,21456.17
65,1092,838,2,2026-07-22,Wrong product,approved,52190.55
66,3935,38,2,2026-07-05,Damaged,approved,26447.75
67,3006,319,3,2026-06-25,Wrong product,approved,25353.85
68,3845,197,1,2026-06-22,Damaged,approved,17096.69
69,1833,192,2,2026-09-03,Defective,approved,18481.89
70,900,474,5,2026-05-05,Damaged,approved,29285.9
71,4699,466,1,2026-08-05,Damaged,approved,65268.57
72,1504,113,5,2026-08-24,Wrong product,approved,96200.53
73,905,204,2,2026-07-06,Size issue,approved,66978.19
74,1678,370,5,2026-08-17,Defective,approved,17035.89
75,629,146,2,2026-09-06,Defective,approved,16296.61
76,1895,39,5,2026-09-18,Size issue,approved,37486.11
77,2109,130,3,2026-09-18,Damaged,approved,26021.01
