sale_item_id,sale_id,product_id,quantity,unit_price,discount,tax,line_total
1,1,61,2,33657.04,7049.74,10847.58,71111.92
2,1,189,2,28066.42,1543.93,9826.0,64414.91
3,2,158,1,36880.83,3753.04,5963.0,39090.79
4,2,2,3,11408.11,2549.03,5701.55,37376.85
5,2,196,4,40456.71,17440.81,25989.49,170375.52
6,2,220,3,21280.0,3759.96,10814.41,70894.45
7,3,135,4,25713.49,5903.65,17451.06,114401.37
8,4,81,2,3286.08,299.24,1129.13,7402.05
9,4,177,1,37809.52,1476.55,6539.93,42872.9
10,4,3,3,33432.15,2252.49,17647.91,115691.87
11,4,4,3,35689.14,3046.79,18723.71,122744.34
12,5,94,3,35740.44,5799.33,18255.96,119677.95
13,5,219,2,11772.86,2766.92,3740.18,24518.98
14,5,103,2,20030.13,3914.0,6506.33,42652.59
15,6,207,4,27779.78,1793.09,19678.69,129004.72
16,6,3,3,33432.15,9451.93,16352.01,107196.53
17,6,46,3,5015.71,453.17,2626.91,17220.87
18,6,108,1,46203.27,2208.9,7918.99,51913.36
19,7,67,3,41997.34,5203.07,21742.01,142530.96
20,7,93,4,17083.66,994.17,12121.28,79461.75
21,7,144,2,33892.0,4692.17,11356.53,74448.36
22,8,228,3,11203.89,1870.5,5713.41,37454.58
23,8,21,2,27939.78,5822.14,9010.34,59067.76
24,8,98,3,20903.98,3174.35,10716.77,70254.36
25,8,158,4,36880.83,15027.92,23849.17,156344.57
26,9,155,3,37465.45,11972.8,18076.24,118499.79
27,9,166,3,33767.83,9091.73,16598.12,108809.88
28,9,102,4,34567.4,6869.05,23652.1,155052.65
29,10,43,1,16510.19,189.31,2937.76,19258.64
30,10,102,4,34567.4,9099.81,23250.56,152420.35
31,11,80,3,9554.15,1524.25,4884.88,32023.08
32,11,59,2,13506.51,425.54,4785.75,31373.23
33,11,64,2,1034.97,7.1,371.31,2434.15
34,11,189,3,28066.42,8693.09,13591.11,89097.28
35,12,46,4,5015.71,1260.25,3384.47,22187.06
36,12,152,3,37157.0,12158.23,17876.3,117189.07
37,12,153,4,6055.61,1568.65,4077.68,26731.47
38,12,117,1,27023.51,1432.87,4606.32,30196.96
39,12,162,3,38305.79,5684.33,19661.95,128894.99
40,13,177,4,37809.52,17185.92,24129.39,158181.55
41,14,49,4,43844.62,8307.72,30072.74,197143.5
42,14,106,2,12366.02,2121.82,4069.84,26680.06
43,14,226,4,41253.01,16404.05,26749.44,175357.43
44,15,106,1,12366.02,270.68,2177.16,14272.5
45,15,49,3,43844.62,1741.87,23362.56,153154.55
46,15,219,4,11772.86,3490.77,7848.12,51448.79
47,16,27,3,12821.1,577.13,6819.51,44705.68
48,16,73,4,17456.78,6092.62,11472.21,75206.71
49,17,96,1,17662.28,699.95,3053.22,20015.55
50,17,119,2,36904.39,496.33,13196.24,86508.69
51,17,179,4,40060.15,1372.65,28596.23,187464.18
52,17,203,4,32452.38,2828.87,22856.52,149837.17
53,18,64,4,1034.97,365.3,679.42,4454.0
54,18,189,1,28066.42,1755.18,4736.02,31047.26
55,18,9,2,9902.75,1123.75,3362.71,22044.46
56,18,51,3,628.75,211.91,301.38,1975.72
57,19,93,1,17083.66,1770.53,2756.36,18069.49
58,19,228,2,11203.89,2617.07,3562.33,23353.04
59,20,203,4,32452.38,10723.41,21435.5,140521.61
60,20,63,2,120.39,10.73,41.41,271.46
61,20,3,1,33432.15,997.84,5838.18,38272.49
62,20,11,4,36727.76,1611.35,26153.94,171453.63
63,21,60,3,24754.89,7178.65,12075.48,79161.5
64,21,82,4,10944.45,3851.69,7186.7,47112.81
65,21,143,1,23230.7,1921.41,3835.67,25144.96
66,21,202,3,22486.45,5864.1,11087.15,72682.4
67,22,48,4,2802.25,370.33,1950.96,12789.63
68,22,140,2,12249.39,202.49,4373.33,28669.62
69,22,90,2,18461.71,1991.14,6287.81,41220.09
70,22,83,3,34264.79,6680.89,17300.43,113413.91
