supplier_id,supplier_name,city,contact_email
1,Supplier 01,Ahmedabad,supplier01@vendor.example
2,Supplier 02,Ahmedabad,supplier02@vendor.example
3,Supplier 03,Delhi,supplier03@vendor.example
4,Supplier 04,Pune,supplier04@vendor.example
5,Supplier 05,Pune,supplier05@vendor.example
6,Supplier 06,Ahmedabad,supplier06@vendor.example
7,Supplier 07,Ahmedabad,supplier07@vendor.example
8,Supplier 08,Jaipur,supplier08@vendor.example
9,Supplier 09,Noida,supplier09@vendor.example
10,Supplier 10,Noida,supplier10@vendor.example
11,Supplier 11,Jaipur,supplier11@vendor.example
12,Supplier 12,Jaipur,supplier12@vendor.example
13,Supplier 13,Mumbai,supplier13@vendor.example
14,Supplier 14,Ahmedabad,supplier14@vendor.example
15,Supplier 15,Mumbai,supplier15@vendor.example
16,Supplier 16,Pune,supplier16@vendor.example
17,Supplier 17,Ahmedabad,supplier17@vendor.example
18,Supplier 18,Ahmedabad,supplier18@vendor.example
19,Supplier 19,Delhi,supplier19@vendor.example
20,Supplier 20,Ahmedabad,supplier20@vendor.example
21,Supplier 21,Pune,supplier21@vendor.example
22,Supplier 22,Noida,supplier22@vendor.example
23,Supplier 23,Noida,supplier23@vendor.example
24,Supplier 24,Ahmedabad,supplier24@vendor.example
25,Supplier 25,Noida,supplier25@vendor.example
26,Supplier 26,Mumbai,supplier26@vendor.example
27,Supplier 27,Ahmedabad,supplier27@vendor.example
28,Supplier 28,Mumbai,supplier28@vendor.example
29,Supplier 29,Jaipur,supplier29@vendor.example
30,Supplier 30,Jaipur,supplier30@vendor.example
